Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire ,Current Status Date,Status,Region,Graduation Date,Graduate Team Location
Sushi,8SS22,Female,LR,B,7/29/2022,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,7/29/2022,Too Young to Test,,,
Romeo,2RR22,Male,LR,Y,7/24/2022,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,7/24/2022,Too Young to Test,,,
Randall,1RR22,Male,LR,B,7/24/2022,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,7/24/2022,Too Young to Test,,,
Rufus,3RR22,Male,LR,B,7/24/2022,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,7/24/2022,Too Young to Test,,,
Quarter,3QQ22,Male,LR,B,7/21/2022,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,7/21/2022,Too Young to Test,,,
Quentin,1QQ22,Male,LR,B,7/21/2022,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,7/21/2022,Too Young to Test,,,
Quintessa,2QQ22,Female,LR,Y,7/21/2022,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,7/21/2022,Too Young to Test,,,
Quigley,5QQ22,Male,LR,Y,7/21/2022,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,7/21/2022,Too Young to Test,,,
Quasi,4QQ22,Male,LR,B,7/21/2022,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,7/21/2022,Too Young to Test,,,
Quantas,6QQ22,Male,LR,B,7/21/2022,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,7/21/2022,Too Young to Test,,,
Quinbie,7QQ22,Female,LR,B,7/21/2022,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,7/21/2022,Too Young to Test,,,
Paul,7PP22,Male,LR,Y,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/12/2022,Ready for Puppy Raiser,,,
Peace,2PP22,Female,LR,Y,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/12/2022,Ready for Puppy Raiser,,,
Patch,1PP22,Male,LR,B&T,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/12/2022,Ready for Puppy Raiser,,,
Potter,6PP22,Male,LR,B,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/13/2022,Ready for Puppy Raiser,,,
Parfait,4PP22,Female,LR,Y,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/13/2022,Ready for Puppy Raiser,,,
Priscilla,5PP22,Female,LR,B,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/12/2022,Released,,,
Pluto,3PP22,Male,LR,Y,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/12/2022,Ready for Puppy Raiser,,,
Paddington,8PP22,Male,LR,Y,7/19/2022,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,9/13/2022,Ready for Puppy Raiser,,,
Obie,1OO22,Male,GS,B&T,7/11/2022,Hexa - 4HH20 - GSBF,Usher TSE - USHER - GSB&TM *NOP*,9/13/2022,Ready for Puppy Raiser,,,
Nana,4NN22,Female,LR,B,7/5/2022,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,8/29/2022,Released,,,
Nikolai,1NN22,Male,LR,B,7/5/2022,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,8/29/2022,Ready for Puppy Raiser,,,
Nikon,2NN22,Male,LR,B,7/5/2022,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,9/3/2022,Puppy Raising,Northern CT Puppy Raising Region,,
Nova,3NN22,Female,LR,B,7/5/2022,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,9/2/2022,Puppy Raising,SWCT Puppy Raising Region,,
Nifty,5NN22,Female,LR,B,7/5/2022,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,8/29/2022,Released,,,
Mitch,3MM22,Male,LR,B,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,8/28/2022,Puppy Raising,Eastern MA Puppy Raising Region,,
Maverick,2MM22,Male,LR,Y,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,8/28/2022,Puppy Raising,Columbus Puppy Raising Region,,
Maguire,4MM22,Male,LR,Y,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,8/28/2022,Puppy Raising,Delmarva Puppy Raising Region,,
Marcy,6MM22,Female,LR,B,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,8/26/2022,Ready for Puppy Raiser,,,
Magnus,5MM22,Male,LR,B,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,9/8/2022,Puppy Raising,Richmond Puppy Raising Region,,
Moana (Dugan),1MM22,Female,LR,B,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,8/25/2022,Released,,,
Muffin,7MM22,Female,LR,Y,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,8/25/2022,Puppy Raising,SWCT Puppy Raising Region,,
Maxwell,8MM22,Male,LR,B,7/2/2022,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,8/30/2022,Puppy Raising,Central CT Puppy Raising Region,,
Lupo,3LL22,Male,LR,B,6/21/2022,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,8/15/2022,Ready for Puppy Raiser,,,
Lenora,1LL22,Female,LR,B,6/21/2022,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,8/20/2022,Puppy Raising,Baltimore Puppy Raising Region,,
Leone,2LL22,Male,LR,B,6/21/2022,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,8/15/2022,Released,,,
Lenny,7LL22,Male,LR,B,6/21/2022,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,8/25/2022,Puppy Raising,Rhode Island Puppy Raising Region,,
Luigi,6LL22,Male,LR,B,6/21/2022,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,8/26/2022,Puppy Raising,Southwestern VT Puppy Raising Region,,
Lucerne,5LL22,Female,LR,B,6/21/2022,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,8/19/2022,Puppy Raising,SWCT Puppy Raising Region,,
Lorenzo,4LL22,Male,LR,B,6/21/2022,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,9/2/2022,Puppy Raising,Erie NY Puppy Raising Region,,
Kristen,8KK22,Female,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/13/2022,Puppy Raising,Eastern MA Puppy Raising Region,,
Keoki (Kaelynn),9KK22,Female,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/17/2022,Other School,,,
Mishkin,3KK22,Male,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/20/2022,Puppy Raising,Montgomery Puppy Raising Region,,
Kiley,1KK22,Female,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/13/2022,Puppy Raising,Region,,
Kiara (Kara),2KK22,Female,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/17/2022,Other School,,,
Kate,6KK22,Female,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/13/2022,Puppy Raising,Capital NY Puppy Raising Region,,
Kelsa,5KK22,Female,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/20/2022,Puppy Raising,Region,,
Miller2,4KK22,Male,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/14/2022,Puppy Raising,Southern Tier NY Puppy Raising Region,,
Kingsley,7KK22,Male,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/15/2022,Puppy Raising,Cleveland West Puppy Raising Region,,
Kathleen,10KK22,Female,GS,B&T,6/18/2022,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,8/18/2022,Puppy Raising,Northern NJ Puppy Raising Region,,
James,1JJ22,Male,LR,B,6/16/2022,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,8/15/2022,Puppy Raising,Cleveland West Puppy Raising Region,,
Joy (Keeva),2JJ22,Female,LR,B,6/16/2022,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,8/9/2022,Released,,,
Jewel,3JJ22,Female,LR,B,6/16/2022,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,8/12/2022,Puppy Raising,Prince William Puppy Raising Region,,
Julio,5JJ22,Male,LR,B,6/16/2022,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,8/15/2022,Puppy Raising,Central CT Puppy Raising Region,,
Jupiter,4JJ22,Female,LR,B,6/16/2022,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,8/13/2022,Puppy Raising,Capital NY Puppy Raising Region,,
Puppy 4,4N01263,Male,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 7,7N01263,Female,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 8,8N01263,Male,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 6,6N01263,Female,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 5,5N01263,Female,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 9,9N01263,Female,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 1,1N01263,Male,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 2,2N01263,Male,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Puppy 3,3N01263,Female,LR,Y,6/13/2022,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,6/16/2022,Other School,,,
Herb,5HH22,Male,LR,B,6/7/2022,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,8/27/2022,Puppy Raising,Fingerlakes Puppy Raising Region,,
Helix,4HH22,Male,LR,Y,6/7/2022,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,8/3/2022,Puppy Raising,Cattaraugus Puppy Raising Region,,
Heron,7HH22,Female,LR,Y,6/7/2022,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,8/11/2022,Puppy Raising,Dominion Puppy Raising Region,,
Henry,2HH22,Male,LR,B,6/7/2022,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,8/31/2022,Puppy Raising,Leatherstocking NY Puppy Raising  Region,,
Harvey,3HH22,Male,LR,Y,6/7/2022,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,8/1/2022,Ready for Puppy Raiser,,,
Henna,6HH22,Female,LR,Y,6/7/2022,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,8/24/2022,Puppy Raising,Northern NJ Puppy Raising Region,,
Gru,1GG22,Male,GS,B&T,6/6/2022,Kindra - 3K319 - GSB&TF,Neil - P - 6N417 - GSB&TM,7/13/2022,Released,,,
Finney,7FF22,Male,LR,B,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Other School,,,
Freedom,6FF22,Male,LR,Y,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Puppy Raising,Cleveland West Puppy Raising Region,,
Frank,4FF22,Male,LR,B,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Puppy Raising,Cleveland East Puppy Raising Region,,
Frisco,3FF22,Male,LR,Y,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/8/2022,Other School,,,
Forbes,9FF22,Male,LR,B,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Puppy Raising,Cleveland East Puppy Raising Region,,
Figi,8FF22,Female,LR,Y,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Puppy Raising,Cleveland West Puppy Raising Region,,
Fargo (Finnick),1FF22,Male,LR,Y,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/2/2022,Released,,,
Frito,2FF22,Female,LR,Y,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Other School,,,
Frazier,10FF22,Male,LR,Y,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Other School,,,
Fiesta,5FF22,Female,LR,B,6/1/2022,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,8/10/2022,Puppy Raising,Cleveland East Puppy Raising Region,,
Ella,4EE22,Female,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,8/3/2022,Puppy Raising,Southern Tier NY Puppy Raising Region,,
Elsie,3EE22,Female,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,7/29/2022,Puppy Raising,Central NY Puppy Raising Region,,
Esther,6EE22,Female,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,7/12/2022,Released,,,
Ellison,7EE22,Male,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,8/9/2022,Puppy Raising,Maine Puppy Raising Region,,
Ezra,1EE22,Male,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,8/11/2022,Puppy Raising,Bay Puppy Raising Region,,
Elon,5EE22,Male,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,8/11/2022,Puppy Raising,Catoctin Puppy Raising Region,,
Edward,8EE22,Male,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,7/17/2022,Puppy Raising,Montgomery Puppy Raising Region,,
Eliza (Bodhi),2EE22,Female,LR,B,5/17/2022,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,7/11/2022,Released,,,
Gaia,1N01267,Female,LR,Y,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,7/14/2022,Other School,,,
Monsoon,1N01268,Male,LR,Y,5/16/2022,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,9/8/2022,Other School,,,
Natty CDC F1,2N01268,Female,LR,B,5/16/2022,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,9/8/2022,Other School,,,
Nugget CDC M1,5N01268,Male,LR,B,5/16/2022,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,9/8/2022,Other School,,,
Casey NEADS,2N01267,Male,LR,Y,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,9/8/2022,Other School,,,
Neo CDC M2,3N01268,Male,LR,Y,5/16/2022,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,9/8/2022,Other School,,,
Dakota NEADS,4N01267,Female,LR,Y,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,9/8/2022,Other School,,,
Minnie NEADS,6N01267,Female,LR,B,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,9/8/2022,Other School,,,
Apollo NEADS,5N01267,Male,LR,B,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,9/8/2022,Other School,,,
Novah CDC F2,4N01268,Female,LR,B,5/16/2022,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,9/8/2022,Other School,,,
Moose NEADS,7N01267,Male,LR,B,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,9/8/2022,Other School,,,
Siren NEADS,8N01267,Female,LR,B,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,9/8/2022,Other School,,,
Chelsea NEADS,3N01267,Female,LR,B,5/16/2022,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,9/8/2022,Other School,,,
Doug (Hudson),2DD22,Male,LR,B,5/15/2022,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,7/8/2022,Released,,,
Darby,4DD22,Male,LR,Y,5/15/2022,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,7/9/2022,Puppy Raising,Adirondack Puppy Raising Region,,
Delta,3DD22,Female,LR,Y,5/15/2022,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,8/15/2022,Puppy Raising,Cleveland West Puppy Raising Region,,
Daryl,5DD22,Female,LR,Y,5/15/2022,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,7/24/2022,Puppy Raising,Eastern CT Puppy Raising Region,,
Donovan,7DD22,Male,LR,Y,5/15/2022,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,7/16/2022,Puppy Raising,Adirondack Puppy Raising Region,,
Dream (Penny),1DD22,Female,LR,B,5/15/2022,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,7/8/2022,Released,,,
Dayton,8DD22,Male,LR,Y,5/15/2022,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,7/17/2022,Puppy Raising,Montgomery Puppy Raising Region,,
Cole,1CC22,Male,GS,B&T,5/12/2022,Jazz GDA - 1X20 - GSB&TF,Timber FGDF - TIMBER FGD - GSB&TM *NOP*,7/17/2022,Puppy Raising,Delmarva Puppy Raising Region,,
Burt,1BB22,Male,LR,B,5/11/2022,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,7/6/2022,Released,,,
