,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire ,Current Status Date,Status,Region
28,Yorkshire,2YY22,Male,LR,Y,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-08-24,Too Young to Test,
29,Waylee,9WW22,Female,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
30,William,10WW22,Male,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
31,Wayne,6WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
32,Walter,3WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
33,Wind,4WW22,Female,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
34,Wyatt,5WW22,Male,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
35,Winslow,1WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
36,Wendell,7WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
37,Whispy,2WW22,Female,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
38,Wilbur,8WW22,Male,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-08-20,Too Young to Test,
39,Viera,1VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-08-06,Too Young to Test,
40,Vega,2VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-08-06,Too Young to Test,
41,Vogue,5VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-08-06,Too Young to Test,
42,Villa,3VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-08-06,Too Young to Test,
43,Viggo,8VV22,Male,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-08-06,Too Young to Test,
44,Victoria,4VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-08-06,Too Young to Test,
45,Visa,7VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-08-06,Too Young to Test,
46,Tremaine,5TT22,Male,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
47,Trinket,8TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
48,Tricia,6TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
49,Tammy,9TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
50,Tory,2TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
51,Tina,1TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
52,Tanya,3TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
53,Timothy,4TT22,Male,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-08-03,Too Young to Test,
54,Springsteen,1SS22,Male,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-07-29,Too Young to Test,
55,Savannah,2SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-07-29,Too Young to Test,
56,Star,3SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-07-29,Too Young to Test,
57,Santana,5SS22,Male,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-07-29,Too Young to Test,
58,Splash,6SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-07-29,Too Young to Test,
59,Sprinkles,7SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-07-29,Too Young to Test,
60,Sushi,8SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-07-29,Too Young to Test,
61,Romeo,2RR22,Male,LR,Y,2022-07-24,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,2022-07-24,Too Young to Test,
62,Randall,1RR22,Male,LR,B,2022-07-24,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,2022-07-24,Too Young to Test,
63,Rufus,3RR22,Male,LR,B,2022-07-24,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,2022-07-24,Too Young to Test,
64,Quarter,3QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-07-21,Too Young to Test,
65,Quentin,1QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-07-21,Too Young to Test,
66,Quintessa,2QQ22,Female,LR,Y,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-07-21,Too Young to Test,
67,Quigley,5QQ22,Male,LR,Y,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-07-21,Too Young to Test,
68,Quasi,4QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-07-21,Too Young to Test,
69,Quantas,6QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-07-21,Too Young to Test,
70,Quinbie,7QQ22,Female,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-07-21,Too Young to Test,
71,Paul,7PP22,Male,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-12,Ready for Puppy Raiser,
72,Peace,2PP22,Female,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-12,Ready for Puppy Raiser,
73,Patch,1PP22,Male,LR,B&T,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-12,Ready for Puppy Raiser,
74,Potter,6PP22,Male,LR,B,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-13,Ready for Puppy Raiser,
75,Parfait,4PP22,Female,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-13,Ready for Puppy Raiser,
77,Pluto,3PP22,Male,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-12,Ready for Puppy Raiser,
78,Paddington,8PP22,Male,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-13,Ready for Puppy Raiser,
79,Obie,1OO22,Male,GS,B&T,2022-07-11,Hexa - 4HH20 - GSBF,Usher TSE - USHER - GSB&TM *NOP*,2022-09-13,Ready for Puppy Raiser,
81,Nikolai,1NN22,Male,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-08-29,Ready for Puppy Raiser,
82,Nikon,2NN22,Male,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-09-03,Puppy Raising,Northern CT Puppy Raising Region
83,Nova,3NN22,Female,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-09-02,Puppy Raising,SWCT Puppy Raising Region
85,Mitch,3MM22,Male,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-28,Puppy Raising,Eastern MA Puppy Raising Region
86,Maverick,2MM22,Male,LR,Y,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-28,Puppy Raising,Columbus Puppy Raising Region
87,Maguire,4MM22,Male,LR,Y,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-28,Puppy Raising,Delmarva Puppy Raising Region
88,Marcy,6MM22,Female,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-26,Ready for Puppy Raiser,
89,Magnus,5MM22,Male,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-09-08,Puppy Raising,Richmond Puppy Raising Region
91,Muffin,7MM22,Female,LR,Y,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-25,Puppy Raising,SWCT Puppy Raising Region
92,Maxwell,8MM22,Male,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-30,Puppy Raising,Central CT Puppy Raising Region
93,Lupo,3LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-15,Ready for Puppy Raiser,
94,Lenora,1LL22,Female,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-20,Puppy Raising,Baltimore Puppy Raising Region
96,Lenny,7LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-25,Puppy Raising,Rhode Island Puppy Raising Region
97,Luigi,6LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-26,Puppy Raising,Southwestern VT Puppy Raising Region
98,Lucerne,5LL22,Female,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-19,Puppy Raising,SWCT Puppy Raising Region
99,Lorenzo,4LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-09-02,Puppy Raising,Erie NY Puppy Raising Region
100,Kristen,8KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-13,Puppy Raising,Eastern MA Puppy Raising Region
102,Mishkin,3KK22,Male,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-20,Puppy Raising,Montgomery Puppy Raising Region
103,Kiley,1KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-13,Puppy Raising,Region
105,Kate,6KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-13,Puppy Raising,Capital NY Puppy Raising Region
106,Kelsa,5KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-20,Puppy Raising,Region
107,Miller2,4KK22,Male,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-14,Puppy Raising,Southern Tier NY Puppy Raising Region
108,Kingsley,7KK22,Male,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-15,Puppy Raising,Cleveland West Puppy Raising Region
109,Kathleen,10KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-18,Puppy Raising,Northern NJ Puppy Raising Region
110,James,1JJ22,Male,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-15,Puppy Raising,Cleveland West Puppy Raising Region
112,Jewel,3JJ22,Female,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-12,Puppy Raising,Prince William Puppy Raising Region
113,Julio,5JJ22,Male,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-15,Puppy Raising,Central CT Puppy Raising Region
114,Jupiter,4JJ22,Female,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-13,Puppy Raising,Capital NY Puppy Raising Region
124,Herb,5HH22,Male,LR,B,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-27,Puppy Raising,Fingerlakes Puppy Raising Region
125,Helix,4HH22,Male,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-03,Puppy Raising,Cattaraugus Puppy Raising Region
126,Heron,7HH22,Female,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-11,Puppy Raising,Dominion Puppy Raising Region
127,Henry,2HH22,Male,LR,B,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-31,Puppy Raising,Leatherstocking NY Puppy Raising  Region
128,Harvey,3HH22,Male,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-01,Ready for Puppy Raiser,
129,Henna,6HH22,Female,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-24,Puppy Raising,Northern NJ Puppy Raising Region
132,Freedom,6FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising,Cleveland West Puppy Raising Region
133,Frank,4FF22,Male,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising,Cleveland East Puppy Raising Region
135,Forbes,9FF22,Male,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising,Cleveland East Puppy Raising Region
136,Figi,8FF22,Female,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising,Cleveland West Puppy Raising Region
140,Fiesta,5FF22,Female,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising,Cleveland East Puppy Raising Region
141,Ella,4EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-03,Puppy Raising,Southern Tier NY Puppy Raising Region
142,Elsie,3EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-29,Puppy Raising,Central NY Puppy Raising Region
144,Ellison,7EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-09,Puppy Raising,Maine Puppy Raising Region
145,Ezra,1EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-11,Puppy Raising,Bay Puppy Raising Region
146,Elon,5EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-11,Puppy Raising,Catoctin Puppy Raising Region
147,Edward,8EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-17,Puppy Raising,Montgomery Puppy Raising Region
163,Darby,4DD22,Male,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-09,Puppy Raising,Adirondack Puppy Raising Region
164,Delta,3DD22,Female,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-08-15,Puppy Raising,Cleveland West Puppy Raising Region
165,Daryl,5DD22,Female,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-24,Puppy Raising,Eastern CT Puppy Raising Region
166,Donovan,7DD22,Male,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-16,Puppy Raising,Adirondack Puppy Raising Region
168,Dayton,8DD22,Male,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-17,Puppy Raising,Montgomery Puppy Raising Region
169,Cole,1CC22,Male,GS,B&T,2022-05-12,Jazz GDA - 1X20 - GSB&TF,Timber FGDF - TIMBER FGD - GSB&TM *NOP*,2022-07-17,Puppy Raising,Delmarva Puppy Raising Region
171,Bijou,2BB22,Female,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-08-13,Puppy Raising,Southern CT Puppy Raising region
172,Bernie,3BB22,Male,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-09,Puppy Raising,Capital NY Puppy Raising Region
173,Brandt,4BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-08,Puppy Raising,Monroe NY Puppy Raising Region
174,Belgium,11BB22,Female,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-30,Puppy Raising,Erie NY Puppy Raising Region
175,Beacon,10BB22,Male,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-17,Puppy Raising,Baltimore Puppy Raising Region
176,Baxter,5BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-30,Puppy Raising,Monroe NY Puppy Raising Region
177,Bankie,8BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-07,Puppy Raising,Central NY Puppy Raising Region
178,Broadway,9BB22,Female,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-31,Puppy Raising,New Hampshire Puppy Raising Region
180,Bryna,6BB22,Female,LR,Y,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-07,Puppy Raising,Monroe NY Puppy Raising Region
181,Angus,1AA22,Male,LR,B,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-28,Puppy Raising,Eastern CT Puppy Raising Region
182,Ambie,2AA22,Female,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-07-17,Puppy Raising,Baltimore Puppy Raising Region
183,Ada,3AA22,Female,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-07-30,Puppy Raising,Monroe NY Puppy Raising Region
184,Aladdin,4AA22,Male,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-25,Puppy Raising,Adirondack Puppy Raising Region
185,Avril,5AA22,Female,LR,B,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-07-21,Puppy Raising,Fingerlakes Puppy Raising Region
196,Yeti,1Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-08,Puppy Raising,Columbus Puppy Raising Region
197,Yolanda,3Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-07-15,Puppy Raising,Eastern MA Puppy Raising Region
198,Yaeger,4Y22,Male,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-28,Puppy Raising,Central CT Puppy Raising Region
199,Yoyo,5Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-09,Puppy Raising,Rhode Island Puppy Raising Region
200,Yogi,2Y22,Male,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-09,Puppy Raising,Columbus Puppy Raising Region
201,Yvonne,6Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-08-03,Puppy Raising,Fingerlakes Puppy Raising Region
203,Wade,2W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-17,Puppy Raising,Baltimore Puppy Raising Region
204,Watson,3W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-09,Puppy Raising,Adirondack Puppy Raising Region
206,Watkins,6W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-16,Puppy Raising,Eastern MA Puppy Raising Region
207,Winette,9W22,Female,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-06-12,Puppy Raising,Dominion Puppy Raising Region
209,Waffle,1W22,Female,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-07-24,Puppy Raising,Eastern CT Puppy Raising Region
211,Verona,2V22,Female,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-14,Puppy Raising,North Carolina Puppy Raising Region
212,Vida,3V22,Female,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-25,Puppy Raising,Adirondack Puppy Raising Region
213,Vespa,5V22,Female,LR,Y,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-08,Puppy Raising,Catoctin Puppy Raising Region
214,Sean,6V22,Male,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-30,Puppy Raising,Monroe NY Puppy Raising Region
216,Tux,1T22,Male,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-07-07,Puppy Raising,Montgomery Puppy Raising Region
217,Ten,2T22,Male,LR,Y,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-07-02,Puppy Raising,Eastern MA Puppy Raising Region
218,Tootsie,4T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-10,Puppy Raising,Northern NJ Puppy Raising Region
221,Tahiti,7T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-24,Puppy Raising,Cleveland East Puppy Raising Region
223,Tank,10T22,Male,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-23,Puppy Raising,Southern CT Puppy Raising region
225,Treasure,11T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-06-12,Puppy Raising,Dominion Puppy Raising Region
227,Sandra,2S22,Female,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-07-17,Puppy Raising,Columbus Puppy Raising Region
228,Sonic,6S22,Male,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-06-08,Puppy Raising,Montgomery Puppy Raising Region
