,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire,Current Status Date,Status,Region,Pass_Fail
159,Moose NEADS,7N01267,Male,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-08,Other School,,True
160,Siren NEADS,8N01267,Female,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-08,Other School,,True
161,Chelsea NEADS,3N01267,Female,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-08,Other School,,True
162,Doug (Hudson),2DD22,Male,LR,B,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-08,Released,,False
167,Dream (Penny),1DD22,Female,LR,B,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-08,Released,,False
170,Burt,1BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-06,Released,,False
179,Bevy (Bridget),7BB22,Female,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-06,Released,,False
186,Arthur,6AA22,Male,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-24,Released,,False
187,Albert,7AA22,Male,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-24,Released,,False
188,Pierre SSD,5N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,,True
189,Harrison SSD,3N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,,True
190,Bismark SSD,1N01266,Male,LR,Y,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,,True
191,Tioga SSD,8N01266,Female,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,,True
192,Minot SSD,4N01266,Female,LR,Y,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,,True
193,Spruce SSD,7N01266,Female,LR,Y,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,,True
194,Silver SSD,6N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,QUINCY SSD - LRBM,2022-06-23,Other School,,True
195,Carson SSD,2N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,,True
202,Yvetta (Etta),7Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-08,Released,,False
205,Walter (Toby),4W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-06-06,Released,,False
208,Wes,7W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-06-06,Released,,False
210,Vega (Cerbie),1V22,Female,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-05-31,Released,,False
215,Verna (Madsen),9V22,Female,LR,Y,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-07,Other School,,True
219,Trilla (Dakota),5T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-05-26,Released,,False
220,Tarzan,6T22,Male,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-05-26,Released,,False
222,Trinket,8T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-05-27,Released,,False
224,Tangee (Tessa),9T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-07-19,Released,,False
226,Sierra,1S22,Female,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-05-19,Released,,False
233,Royal,5R22,Female,GS,B&T,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-06-06,Released,,False
236,Quebec (Daisy),4Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-12,Released,,False
237,Quentin,6Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-12,Released,,False
243,Quigley,1Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-13,Released,,False
245,Quaker,3Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-22,Released,,False
247,Pongo,4P22,Male,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-25,Released,,False
249,Parsley,9P22,Female,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-16,Released,,False
252,Orion,3O22,Female,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-06-22,Released,,False
254,Orlando (Finn),6O22,Male,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-05-06,Released,,False
261,Neala (Bailey),2N22,Female,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-05,Released,,False
263,Nutella,4N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-04,Released,,False
264,Nexus,5N22,Female,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Other School,,True
267,Mocha,3M22,Female,LR,B,2022-02-27,Cora - 4C19 - LRBF,Gomer - 4G319 - LRYM,2022-04-22,Released,,False
270,Lila,3L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-02,Released,,False
271,Lisa,6L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-06-08,Other School,,True
272,Loyal,4L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-02,Released,,False
276,Laura,9L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Other School,,True
278,Leslie,11L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-06-08,Other School,,True
283,Kokomo,7K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-21,Released,,False
284,Kansas (Rosie),8K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-21,Released,,False
286,Keanu,2K22,Male,LR,B,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-20,Released,,False
288,Kathy,4K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-06-07,Other School,,True
291,Jordan (Alfie),2J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-04-18,Released,,False
298,Joshua (Cheecho),7J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-04-19,Released,,False
299,Howie (Duke),9H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-08,Released,,False
300,Italy,3I22,Female,LR,B,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-20,Other School,,True
302,Intrigue,6I22,Female,LR,Y,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-04,Released,,False
305,Ink,9I22,Male,LR,B,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-20,Other School,,True
306,Hero,1H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-05-02,Released,,False
308,Harlan (Cooper),5H22,Male,LR,Y,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-08,Released,,False
317,Frisco,2F22,Male,LR,Y,2022-01-31,Venti - 6V315 - LRBF,Gomer - 4G319 - LRYM,2022-04-01,Released,,False
318,Darwin,1D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-03-11,Released,,False
320,Destiny,6D22,Female,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-03-11,Released,,False
321,Dempsey (Dustin),3D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-12,Other School,,True
323,Dozer,7D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-23,Other School,,True
325,Dex,8D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-12,Other School,,True
328,Cara,1C22,Female,LR,Y,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-07-18,Released,Northern NJ Puppy Raising Region,False
329,Cody,2C22,Male,LR,B,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-03-17,Released,,False
330,Candy (Star),3C22,Female,LR,B,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-04-04,Other School,,True
331,Cassidy,4C22,Female,LR,Y,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-03-08,Released,,False
336,Bay (Lucy),2B22,Female,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-02,Released,,False
339,Bentley (Chris),5B22,Male,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-04-15,Other School,,True
340,Badge (Arlo),6B22,Male,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-04-05,Released,,False
342,Angus,2A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-04-04,Other School,,True
343,Alastair,3A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-04-04,Other School,,True
344,Asher,4A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-02-28,Released,,False
345,Alana,7A22,Female,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-01,Released,,False
348,Allegra (Layla),8A22,Female,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-01,Released,,False
350,Woody,2W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-02-22,Released,,False
351,Whisk (Billie),3W321,Female,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-02-22,Released,,False
354,Winthrop,6W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-04-04,Other School,,True
355,Waver,7W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-29,Released,,False
356,Winslow,8W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-04-04,Other School,,True
357,Wrigley,9W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-02-23,Released,,False
358,Veronica (Clover),1V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-21,Released,,False
359,Vala,3V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-14,Released,,False
365,Vader,9V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-16,Released,,False
366,Vega (Tiki),11V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-16,Released,,False
367,"Twilight (Roisin ""Rosie"")",1T321,Female,LR,B,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-02-12,Released,,False
371,Saint (Otis),5S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-14,Other School,,True
374,Skye (Piper),7S321,Female,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-08,Released,,False
376,Sullivan (Harvey),3S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-14,Other School,,True
379,Russell,2R321,Male,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-10,Released,,False
380,Raven,3R321,Female,LR,B,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-03-11,Released,,False
382,Ricky (Ranger),5R321,Male,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-10,Released,,False
388,Primo,2P321,Male,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-01,Released,,False
391,Peggy,6P321,Female,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-01,Released,,False
394,Ocala,4O321,Female,LR,Y,2021-12-04,Zelda - 1Z319 - LRBF,Baron - 4B20 - LRBM,2022-01-28,Other School,,True
396,Natasha (Truffle),3N321,Female,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-25,Released,,False
399,Noel (Goldie),6N321,Female,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-25,Released,,False
402,Maxine (Abby),1M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-01-20,Released,,False
403,Mazie (Lucy),2M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-02-13,Other School,,True
406,Landon (Teddy),1L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-09,Other School,,True
409,Lisa,4L321,Female,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-18,Other School,,True
410,Lionel (Lionel V),6L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-10,Other School,,True
411,Luigi (Balto),11L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-09,Other School,,True
412,Lucky (Wally),8L321,Male,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-13,Released,,False
414,Lucas (Trapper),10L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-09,Other School,,True
415,Kingsley,1K321,Male,GS,B&T,2021-11-17,Shea - 5SS18 - GSBF,Eric - 2E19 - GSB&TM,2021-12-29,Released,,False
417,Kraus (Kosmo),3K321,Male,GS,B&T,2021-11-17,Shea - 5SS18 - GSBF,Eric - 2E19 - GSB&TM,2022-02-15,Released,New Hampshire Puppy Raising Region,False
418,Joelle (Augie),1J321,Female,LR,Y,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-01-10,Released,,False
422,Ingalls,2I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2021-12-30,Released,,False
423,Ina (Merrie),7I321,Female,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-02-13,Other School,,True
424,Ives (Brady),3I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2021-12-30,Released,,False
428,Icabod (Cassatt),8I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-02-10,Other School,,True
431,Hadley (Poppy),1H321,Female,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2021-12-28,Released,,False
433,Hubert (Robie III),2H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-02-10,Other School,,True
434,Herman,4H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-01-12,Released,,False
437,Galahad (Yoda),4G321,Male,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2022-01-20,Other School,,True
442,Gretel (Rockie),1G321,Female,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-16,Released,,False
443,Garrett (Winston),2G321,Male,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2022-01-20,Other School,,True
446,Fusilli,3F321,Male,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2021-12-07,Released,,False
448,Flo,5F321,Female,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-09-13,Released,Cleveland West Puppy Raising Region,False
450,Fate,6F321,Female,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2021-12-07,Released,,False
451,Dusty (A-Nara),1D321,Female,GS,SABL,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-10,Other School,,True
455,Eastman (Dylan),1E321,Male,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2022-01-20,Other School,,True
457,Etta (Saylor),5E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-10,Released,,False
462,Chloe,1C321,Female,LR,B,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-03,Released,,False
468,Captain (Castor),7C321,Male,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-11-22,Released,,False
471,Beauty (Olympia),8B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-01,Released,,False
472,Bexley,2B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-11,Other School,,True
476,Bob,9B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-11,Other School,,True
478,Aladdin,2A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-11-30,Released,,False
479,Alonzo (Murphy),3A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-12-08,Released,,False
480,Amtrak,4A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2022-09-01,Released,Dominion Puppy Raising Region,False
485,Zoe,5ZZ21,Female,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-11-19,Released,,False
486,Zodiac,4ZZ21,Male,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-12-13,Other School,,True
489,Zircon (Buddy),9ZZ21,Male,LR,Y,2021-09-24,Nyla - 2N319 - LRYF,Everett - 1E419 - LRYM,2021-12-17,Other School,,True
493,Yeti (Duke B230),1YY21,Male,LR,Y,2021-09-23,Kyra - 5KK18 - LRBF,Enrico - 7EE19 - LRBM,2021-12-13,Other School,,True
497,Yin (Monty),4YY21,Male,LR,B,2021-09-23,Kyra - 5KK18 - LRBF,Enrico - 7EE19 - LRBM,2021-11-17,Released,,False
499,Walden (Oliver),1WW21,Male,LR,Y,2021-09-13,Ivory - 3II17 - LRYF,Shadow - 1S19 - LRBM,2021-11-03,Released,,False
500,Virginia (Vancouver),5VV21,Female,LR,B,2021-09-09,Noni - 2N18 - LRBF,Elrod - 6E319 - LRBM,2021-12-11,Other School,,True
501,Villa,6VV21,Female,LR,B,2021-09-09,Noni - 2N18 - LRBF,Elrod - 6E319 - LRBM,2021-12-11,Other School,,True
504,Valkyrie (Taz),10VV21,Female,LR,B,2021-09-09,Noni - 2N18 - LRBF,Elrod - 6E319 - LRBM,2021-12-08,Released,,False
505,Valaria (Valencia),1VV21,Female,LR,B,2021-09-09,Noni - 2N18 - LRBF,Elrod - 6E319 - LRBM,2021-12-11,Other School,,True
506,Verona,2VV21,Female,LR,B,2021-09-09,Noni - 2N18 - LRBF,Elrod - 6E319 - LRBM,2021-12-11,Other School,,True
