,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire,Current Status Date,Status,Pass_Fail
187,Rodger WCC,8N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-16,Other School,True
188,Delcore WCC,6N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-16,Other School,True
189,Pink Puppy,5N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-09,Other School,True
190,Purple Puppy,9N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-09,Other School,True
191,L-Blue Puppy,1N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-09,Other School,True
192,D-Blue Puppy,2N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-09,Other School,True
193,Jane WCC,3N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-08-12,Other School,True
200,Gru,1GG22,Male,GS,B&T,2022-06-06,Kindra - 3K319 - GSB&TF,Neil - P - 6N417 - GSB&TM,2022-07-13,Released,False
201,Finney,7FF22,Male,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Other School,True
204,Frisco,3FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-08,Other School,True
207,Fargo (Finnick),1FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-02,Released,False
208,Frito,2FF22,Female,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Other School,True
209,Frazier,10FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Other School,True
213,Esther (Milo),6EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-12,Released,False
218,Eliza (Bodhi),2EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-11,Released,False
219,Gaia NEADS,1N01267,Female,LR,Y,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-09,Other School,True
220,Monsoon,1N01268,Male,LR,Y,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-13,Other School,True
221,Natty CDC F1,2N01268,Female,LR,B,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,True
222,Nugget CDC M1,5N01268,Male,LR,B,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,True
223,Casey NEADS,2N01267,Male,LR,Y,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,True
224,Neo CDC M2,3N01268,Male,LR,Y,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,True
225,Dakota NEADS,4N01267,Female,LR,Y,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,True
226,Minnie NEADS,6N01267,Female,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,True
227,Apollo NEADS,5N01267,Male,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,True
228,Novah CDC F2,4N01268,Female,LR,B,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,True
229,Moose NEADS,7N01267,Male,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,True
230,Siren NEADS,8N01267,Female,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,True
231,Chelsea NEADS,3N01267,Female,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,True
232,Doug (Hudson),2DD22,Male,LR,B,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-08,Released,False
237,Dream (Penny),1DD22,Female,LR,B,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-08,Released,False
240,Burt,1BB22,Male,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-06,Released,False
249,Bevy (Bridget),7BB22,Female,LR,B,2022-05-11,Dana - 5D419 - LRBF,Rider - 3R15 - LRBM,2022-07-06,Released,False
256,Arthur,6AA22,Male,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-24,Released,False
257,Albert,7AA22,Male,LR,Y,2022-05-01,Vanna - 4V318 - LRYF,Elton - 4EE20 - LRBM,2022-06-24,Released,False
258,Pierre SSD,5N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
259,Harrison SSD,3N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
260,Bismark SSD,1N01266,Male,LR,Y,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
261,Tioga SSD,8N01266,Female,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
262,Minot SSD,4N01266,Female,LR,Y,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
263,Spruce SSD,7N01266,Female,LR,Y,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
264,Silver SSD,6N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
265,Carson SSD,2N01266,Male,LR,B,2022-04-15,Dakota - S - 4D417 - LRBF *NOP*,Quincy SSD Shiloh II PADS - QUINCY SSD - LRBM,2022-06-23,Other School,True
272,Yvetta (Etta),7Y22,Female,LR,Y,2022-04-13,Janet - 2J20 - LRYF,Garcia - 4G16 - LRYM,2022-06-08,Released,False
275,Walter (Toby),4W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-06-06,Released,False
278,Wes,7W22,Male,LR,B,2022-04-11,Debbie - 6D319 - LRYF,Dasher - 6D418 - LRBM,2022-06-06,Released,False
280,Vega (Cerbie),1V22,Female,LR,B,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-05-31,Released,False
285,Verna (Madsen),9V22,Female,LR,Y,2022-04-04,Okemo - 7OO19 - LRBF,Bosley - 1B418 - LRBM,2022-06-07,Other School,True
289,Trilla (Dakota),5T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-05-26,Released,False
290,"Tarzan (Rooney ""Roo"")",6T22,Male,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-05-26,Released,False
292,Trinket,8T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-05-27,Released,False
294,Tangee (Tessa),9T22,Female,LR,B,2022-04-02,Felicia - 5F20 - LRBF,Dover - 3D19 - LRBM,2022-07-19,Released,False
296,Sierra,1S22,Female,LR,B,2022-03-26,Terri - 3T18 - LRBF,Midnight - 4M19 - LRBM,2022-05-19,Released,False
303,Royal,5R22,Female,GS,B&T,2022-03-21,Xena - 2X20 - GSB&TF,Hobie - 1HH20 - GSB&TM,2022-06-06,Released,False
306,Quebec (Daisy),4Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-12,Released,False
307,Quentin,6Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-12,Released,False
313,Quigley,1Q22,Male,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-05-13,Released,False
315,Quaker (Bailey),3Q22,Female,LR,B,2022-03-18,Helga - 6H319 - LRBF,Odin - 5OO19 - LRBM,2022-06-22,Released,False
317,Pongo,4P22,Male,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-25,Released,False
319,Parsley,9P22,Female,LR,Y,2022-03-17,Tempest - 4TT18 - LRYF,Gomer - 4G319 - LRYM,2022-05-16,Released,False
322,Orion,3O22,Female,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-06-22,Released,False
324,Orlando (Finn),6O22,Male,LR,B,2022-03-12,Piper - 1P318 - LRYF,Elrod - 6E319 - LRBM,2022-05-06,Released,False
331,Neala (Bailey),2N22,Female,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-05,Released,False
333,Nutella,4N22,Male,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-04,Released,False
334,Nexus,5N22,Female,LR,Y,2022-03-10,Emblem - 6EE19 - LRYF,Everett - 1E419 - LRYM,2022-05-14,Other School,True
337,Mocha,3M22,Female,LR,B,2022-02-27,Cora - 4C19 - LRBF,Gomer - 4G319 - LRYM,2022-04-22,Released,False
340,Lila,3L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-02,Released,False
341,Lisa,6L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-06-08,Other School,True
342,Loyal,4L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-02,Released,False
346,Laura,9L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-05-14,Other School,True
348,Leslie,11L22,Female,LR,B,2022-02-26,Caprice - 8C318 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-06-08,Other School,True
353,Kokomo,7K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-21,Released,False
354,Kansas (Rosie),8K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-21,Released,False
356,Keanu,2K22,Male,LR,B,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-04-20,Released,False
358,Kathy,4K22,Female,LR,Y,2022-02-25,Hetty - 10HH18 - LRYF,Baron - 4B20 - LRBM,2022-06-07,Other School,True
361,Jordan (Alfie),2J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-04-18,Released,False
367,Joshua (Cheecho),7J22,Male,LR,B,2022-02-21,Oriana - 2O317 - LRYF,Darren - 4D20 - LRBM,2022-04-19,Released,False
368,Howie (Duke),9H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-08,Released,False
369,Italy,3I22,Female,LR,B,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-20,Other School,True
371,Intrigue,6I22,Female,LR,Y,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-04,Released,False
374,Ink,9I22,Male,LR,B,2022-02-07,Loretta - 2L20 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-04-20,Other School,True
375,Hero,1H22,Male,LR,B,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-05-02,Released,False
377,Harlan (Cooper),5H22,Male,LR,Y,2022-02-07,Dee - 5D19 - LRBF,Clay - 5C319 - LRYM,2022-04-08,Released,False
386,Frisco,2F22,Male,LR,Y,2022-01-31,Venti - 6V315 - LRBF,Gomer - 4G319 - LRYM,2022-04-01,Released,False
387,Darwin,1D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-03-11,Released,False
389,Destiny,6D22,Female,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-03-11,Released,False
390,Dempsey (Dustin),3D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-12,Other School,True
392,Dozer,7D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-23,Other School,True
394,Dex,8D22,Male,LR,B,2022-01-16,Patrice - 6P319 - LRBF,Felix TSE - FELIX - LRBM *NOP*,2022-04-12,Other School,True
397,Nash,1N01271,Male,LR,Y,2022-01-08,Ginnie PBB - GINNIE PBB - LRYF *NOP*,Perry - 1P319 - LRBM,2022-03-23,Other School,True
398,Sherman,3N01271,Female,LR,Y,2022-01-08,Ginnie PBB - GINNIE PBB - LRYF *NOP*,Perry - 1P319 - LRBM,2022-03-23,Other School,True
399,Sawyer,2N01271,Female,LR,B,2022-01-08,Ginnie PBB - GINNIE PBB - LRYF *NOP*,Perry - 1P319 - LRBM,2022-03-23,Other School,True
400,Cara,1C22,Female,LR,Y,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-07-18,Released,False
401,Cody,2C22,Male,LR,B,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-03-17,Released,False
402,Candy (Star),3C22,Female,LR,B,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-04-04,Other School,True
403,Cassidy,4C22,Female,LR,Y,2022-01-08,Buttons - 4B19 - LRYF,Elton - 4EE20 - LRBM,2022-03-08,Released,False
408,Bay (Lucy),2B22,Female,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-03-02,Released,False
411,Bentley (Chris),5B22,Male,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-04-15,Other School,True
412,Badge (Arlo),6B22,Male,LR,B,2022-01-06,Guava - 2G317 - LRYF,Wiggins - 8WW19 - LRBM,2022-04-05,Released,False
414,Angus,2A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-04-04,Other School,True
415,Alastair,3A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-04-04,Other School,True
416,Asher,4A22,Male,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-02-28,Released,False
417,Alana,7A22,Female,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-01,Released,False
420,Allegra (Layla),8A22,Female,LR,B,2022-01-02,Brio - S - 6B319 - LRYF,Darren - 4D20 - LRBM,2022-03-01,Released,False
422,Woody,2W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-02-22,Released,False
423,Whisk (Billie),3W321,Female,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-02-22,Released,False
426,Winthrop,6W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-04-04,Other School,True
427,Waver,7W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-03-29,Released,False
428,Winslow,8W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-04-04,Other School,True
429,Wrigley,9W321,Male,LR,B,2021-12-29,Viv - 2VV18 - LRBF,Dasher - 6D418 - LRBM,2022-02-23,Released,False
430,Veronica (Clover),1V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-03-21,Released,False
431,Vala,3V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-14,Released,False
437,Vader,9V321,Male,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-16,Released,False
438,Vega (Tiki),11V321,Female,LR,B,2021-12-22,Wanita - 5W18 - LRBF,Pablo - 3P319 - LRYM,2022-02-16,Released,False
439,"Twilight (Roisin ""Rosie"")",1T321,Female,LR,B,2021-12-19,Zayna - 5Z319 - LRYF,Opa - S - 5O319 - LRBM,2022-02-12,Released,False
443,Saint (Otis),5S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-14,Other School,True
446,Skye (Piper),7S321,Female,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-08,Released,False
448,Sullivan (Harvey),3S321,Male,LR,B,2021-12-18,Roz - 4RR18 - LRBF,Elrod - 6E319 - LRBM,2022-02-14,Other School,True
451,Russell,2R321,Male,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-10,Released,False
452,Raven,3R321,Female,LR,B,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-03-11,Released,False
454,Ricky (Ranger),5R321,Male,LR,Y,2021-12-17,Evie - 4E417 - LRYF,Enrico - 7EE19 - LRBM,2022-02-10,Released,False
460,Primo,2P321,Male,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-01,Released,False
463,Peggy,6P321,Female,GS,B&T,2021-12-07,Duchess - 3DD19 - GSB&TF,Ogden - 5O314 - GSB&TM,2022-02-01,Released,False
466,Ocala,4O321,Female,LR,Y,2021-12-04,Zelda - 1Z319 - LRBF,Baron - 4B20 - LRBM,2022-01-28,Other School,True
468,Natasha (Truffle),3N321,Female,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-25,Released,False
471,Noel (Goldie),6N321,Female,LR,Y,2021-12-02,Goldie - 1G20 - LRYF,Eduardo - 4E419 - LRYM,2022-01-25,Released,False
474,Maxine (Abby),1M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-01-20,Released,False
475,Mazie (Lucy),2M321,Female,LR,Y,2021-11-26,Sally - 5S19 - LRBF,Charlie - 10CC17 - LRYM,2022-02-13,Other School,True
478,Landon (Teddy),1L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-09,Other School,True
481,Lisa,4L321,Female,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-18,Other School,True
482,Lionel (Lionel V),6L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-10,Other School,True
483,Luigi (Balto),11L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-09,Other School,True
484,Lucky (Wally),8L321,Male,LR,Y,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-01-13,Released,False
486,Lucas (Trapper),10L321,Male,LR,B,2021-11-19,Fortune - 4F318 - LRYF,Bosley - 1B418 - LRBM,2022-02-09,Other School,True
487,Kingsley,1K321,Male,GS,B&T,2021-11-17,Shea - 5SS18 - GSBF,Eric - 2E19 - GSB&TM,2021-12-29,Released,False
489,Kraus (Kosmo),3K321,Male,GS,B&T,2021-11-17,Shea - 5SS18 - GSBF,Eric - 2E19 - GSB&TM,2022-02-15,Released,False
490,Joelle (Augie),1J321,Female,LR,Y,2021-11-15,Liza - 5L318 - LRBF,Shadow - 1S19 - LRBM,2022-01-10,Released,False
494,Ingalls,2I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2021-12-30,Released,False
495,Ina (Merrie),7I321,Female,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-02-13,Other School,True
496,Ives (Brady),3I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2021-12-30,Released,False
500,Icabod (Cassatt),8I321,Male,LR,B,2021-11-05,Zula - S - 4A317 - LRYF,Darren - 4D20 - LRBM,2022-02-10,Other School,True
503,Hadley (Poppy),1H321,Female,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2021-12-28,Released,False
505,Hubert (Robie III),2H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-02-10,Other School,True
506,Herman,4H321,Male,LR,B,2021-11-03,Mildred - 1M315 - LRBF,Odin - 5OO19 - LRBM,2022-01-12,Released,False
510,Galahad (Yoda),4G321,Male,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2022-01-20,Other School,True
515,Gretel (Rockie),1G321,Female,LR,B,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2021-12-16,Released,False
516,Garrett (Winston),2G321,Male,LR,Y,2021-10-23,Lark - 4L18 - LRBF,Gerald - 7G20 - LRYM,2022-01-20,Other School,True
519,Fusilli,3F321,Male,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2021-12-07,Released,False
521,Flo,5F321,Female,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2022-09-13,Released,False
523,Fate,6F321,Female,LR,B,2021-10-11,MacKenzie - S - 2M18 - LRYF,Midnight - 4M19 - LRBM,2021-12-07,Released,False
524,Dusty (A-Nara),1D321,Female,GS,SABL,2021-10-10,Tawny - 1T318 - GSSABLF,Rugby - 2R319 - GSSABLM,2021-12-10,Other School,True
528,Eastman (Dylan),1E321,Male,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2022-01-20,Other School,True
530,Etta (Saylor),5E321,Female,LR,B,2021-10-10,Ona - 6O19 - LRBF,Disney - 7D419 - LRB&TM,2021-12-10,Released,False
535,Chloe,1C321,Female,LR,B,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-12-03,Released,False
541,Captain (Castor),7C321,Male,LR,Y,2021-10-06,Bonnie - 4B18 - LRYF,Opa - S - 5O319 - LRBM,2021-11-22,Released,False
544,Beauty (Olympia),8B321,Female,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-01,Released,False
545,Bexley,2B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-11,Other School,True
549,Bob,9B321,Male,LR,B,2021-10-02,Dusk - 7D418 - LRBF,Everett - 1E419 - LRYM,2021-12-11,Other School,True
551,Aladdin,2A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-11-30,Released,False
552,Alonzo (Murphy),3A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2021-12-08,Released,False
553,Amtrak,4A321,Male,LR,B,2021-10-02,Coco - S - 1C418 - LRBF,Darren - 4D20 - LRBM,2022-09-01,Released,False
