,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire,Current Status Date,Status
73,Eclair,6E322,Female,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test
74,Elias,3E322,Male,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test
75,Edsel,1E322,Male,LR,B,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test
76,Dennison,2D322,Male,LR,B,2022-09-10,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,2022-09-10,Too Young to Test
77,Dutch,1D322,Male,LR,B,2022-09-10,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,2022-09-10,Too Young to Test
78,Baja,4B322,Female,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-25,Ready for Puppy Raiser
79,Brindy,5B322,Female,LR,B,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-25,Ready for Puppy Raiser
80,Cara,2C322,Female,LR,B,2022-08-31,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,2022-10-29,Puppy Raising
81,Bingo,2B322,Male,LR,BRIN,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-30,Puppy Raising
82,Char,1C322,Female,LR,B,2022-08-31,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,2022-10-27,Ready for Puppy Raiser
83,Bean,1B322,Female,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-30,Puppy Raising
84,Bruno,8B322,Male,LR,B,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-30,Puppy Raising
85,Barney,3B322,Male,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-24,Ready for Puppy Raiser
86,Boston,6B322,Male,LR,B,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-31,Puppy Raising
87,Bonnet,7B322,Female,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-10-26,Puppy Raising
88,Albert,6A322,Male,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-10-19,Ready for Puppy Raiser
89,Arthur,7A322,Male,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-10-26,Puppy Raising
90,Ambrosia,2A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-10-20,Puppy Raising
91,Alban,5A322,Male,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-10-19,Ready for Puppy Raiser
93,Abilene,4A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-10-21,Puppy Raising
94,Arizona,3A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-10-25,Puppy Raising
95,Yoki,4YY22,Female,LR,Y,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-10-21,Puppy Raising
96,Yasmine,3YY22,Female,LR,Y,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-10-17,Ready for Puppy Raiser
97,Yola,1YY22,Female,LR,B,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-10-17,Ready for Puppy Raiser
98,Yorkshire,2YY22,Male,LR,Y,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-10-20,Puppy Raising
99,Waylee,9WW22,Female,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-18,Puppy Raising
101,Wayne,6WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-30,Puppy Raising
102,Walter,3WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-21,Puppy Raising
104,Wyatt,5WW22,Male,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-14,Ready for Puppy Raiser
105,Winslow,1WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-14,Ready for Puppy Raiser
106,Wendell,7WW22,Male,LR,B,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-14,Ready for Puppy Raiser
108,Wilbur,8WW22,Male,LR,Y,2022-08-20,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,2022-10-14,Puppy Raising
109,Viera,1VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-10-27,Puppy Raising
111,Vogue,5VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-10-30,Puppy Raising
112,Villa,3VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-10-18,Puppy Raising
114,Victoria,4VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-10-31,Puppy Raising
115,Visa,7VV22,Female,LR,Y,2022-08-06,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,2022-10-02,Puppy Raising
116,Tremaine,5TT22,Male,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-10-30,Puppy Raising
117,Trinket,8TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-10-14,Puppy Raising
118,Trixie,6TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-10-02,Puppy Raising
120,Tory,2TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-10-14,Puppy Raising
121,Tina,1TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-10-05,Puppy Raising
122,Tanya,3TT22,Female,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-10-22,Puppy Raising
123,Timothy,4TT22,Male,LR,B,2022-08-03,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,2022-10-26,Puppy Raising
125,Savannah,2SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-10-11,Puppy Raising
126,Star,3SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-10-02,Puppy Raising
127,Santana,5SS22,Male,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-10-20,Puppy Raising
129,Sprinkles,7SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-09-26,Puppy Raising
130,Sushi,8SS22,Female,LR,B,2022-07-29,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,2022-10-07,Puppy Raising
131,Romeo,2RR22,Male,LR,Y,2022-07-24,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,2022-09-18,Puppy Raising
132,Randall,1RR22,Male,LR,B,2022-07-24,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,2022-10-20,Puppy Raising
133,Ripley,3RR22,Male,LR,B,2022-07-24,Irene - 6II20 - LRBF,Perry - 1P319 - LRBM,2022-09-17,Puppy Raising
134,Quarter,3QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-09-15,Puppy Raising
136,Quintessa,2QQ22,Female,LR,Y,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-09-15,Puppy Raising
137,Quigley,5QQ22,Male,LR,Y,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-09-17,Puppy Raising
138,Quasi,4QQ22,Male,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-10-20,Puppy Raising
140,Quinbie,7QQ22,Female,LR,B,2022-07-21,Coco - S - 1C418 - LRBF,Arlo - 1A320 - LRBM,2022-09-16,Puppy Raising
141,Paul,7PP22,Male,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-10-12,Puppy Raising
142,Peace,2PP22,Female,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-18,Puppy Raising
143,Patch,1PP22,Male,LR,B&T,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-15,Puppy Raising
144,Potter,6PP22,Male,LR,B,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-18,Puppy Raising
145,Parfait,4PP22,Female,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-18,Puppy Raising
147,Pluto,3PP22,Male,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-18,Puppy Raising
148,Paddington,8PP22,Male,LR,Y,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-10-20,Puppy Raising
149,Obie,1OO22,Male,GS,B&T,2022-07-11,Hexa - 4HH20 - GSBF,Usher TSE - USHER - GSB&TM *NOP*,2022-09-18,Puppy Raising
151,Nikolai,1NN22,Male,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-09-18,Puppy Raising
152,Nikon,2NN22,Male,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-09-03,Puppy Raising
153,Nova,3NN22,Female,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-09-02,Puppy Raising
155,Mitch,3MM22,Male,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-28,Puppy Raising
156,Maverick,2MM22,Male,LR,Y,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-28,Puppy Raising
157,Maguire,4MM22,Male,LR,Y,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-28,Puppy Raising
158,Marcy,6MM22,Female,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-09-16,Puppy Raising
159,Magnus,5MM22,Male,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-09-08,Puppy Raising
161,Muffin,7MM22,Female,LR,Y,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-25,Puppy Raising
162,Maxwell,8MM22,Male,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-30,Puppy Raising
163,Lupo,3LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-09-15,Puppy Raising
164,Lenora,1LL22,Female,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-20,Puppy Raising
166,Lenny,7LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-25,Puppy Raising
167,Luigi,6LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-26,Puppy Raising
168,Lucerne,5LL22,Female,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-19,Puppy Raising
169,Lorenzo,4LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-09-02,Puppy Raising
170,Kristen,8KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-13,Puppy Raising
172,Mishkin,3KK22,Male,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-20,Puppy Raising
173,Kiley,1KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-13,Puppy Raising
175,Kate,6KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-13,Puppy Raising
176,Kelsa,5KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-20,Puppy Raising
177,Miller2,4KK22,Male,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-14,Puppy Raising
178,Kingsley,7KK22,Male,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-15,Puppy Raising
179,Kathleen,10KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-18,Puppy Raising
180,James,1JJ22,Male,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-15,Puppy Raising
182,Jewel,3JJ22,Female,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-12,Puppy Raising
183,Julio,5JJ22,Male,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-15,Puppy Raising
184,Jupiter,4JJ22,Female,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-13,Puppy Raising
194,Herb,5HH22,Male,LR,B,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-27,Puppy Raising
195,Helix,4HH22,Male,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-03,Puppy Raising
196,Heron,7HH22,Female,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-11,Puppy Raising
197,Henry,2HH22,Male,LR,B,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-31,Puppy Raising
198,Harvey,3HH22,Male,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-09-18,Puppy Raising
199,Henna,6HH22,Female,LR,Y,2022-06-07,Bonnie - 4B18 - LRYF,Bosley - 1B418 - LRBM,2022-08-24,Puppy Raising
202,Freedom,6FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising
203,Frank,4FF22,Male,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising
205,Forbes,9FF22,Male,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising
206,Figi,8FF22,Female,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising
210,Fiesta,5FF22,Female,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Puppy Raising
211,Ella,4EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-03,Puppy Raising
212,Elsie,3EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-29,Puppy Raising
214,Ellison,7EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-09,Puppy Raising
215,Ezra,1EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-11,Puppy Raising
216,Elon,5EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-08-11,Puppy Raising
217,Edward,8EE22,Male,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-17,Puppy Raising
233,Darby,4DD22,Male,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-09,Puppy Raising
234,Delta,3DD22,Female,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-08-15,Puppy Raising
235,Daryl,5DD22,Female,LR,Y,2022-05-15,Bonita - P - 8B417 - LRYF,Donny - 2D419 - LRBM,2022-07-24,Puppy Raising
